Name,Date,Time (East Coast),Location,Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Temp at Launch Time,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Wind Speed at Launch Time,Hist Ave Max Wind Speed,Hist Ave Visibility,Sea Level Pressure,Hist Ave Sea Level Pressure,Day Length,Condition,Notes
,4-Dec-58,,Cape Canaveral,,,75,68,71,,75,55,65,0,0.08,E,16,15,,,,30.22,,10:26,Cloudy,
,5-Dec-58,,Cape Canaveral,,,78,70,73.39,,75,55,65,0,0.09,E,14,10,,,,30.2,,10:26,Cloudy,
Pioneer 3,6-Dec-58,1:45,Cape Canaveral,Uncrewed,Y,73,0,60.21,62,75,55,65,0,0.09,NE,15,10,11,,,30.25,,10:25,Cloudy,
,7-Dec-58,,Cape Canaveral,,,76,57,66.04,,75,55,65,0,0.08,N,10,10,,,,30.28,,10:25,Partly Cloudy,
,8-Dec-58,,Cape Canaveral,,,79,60,70.52,,75,55,65,0,0.09,E,12,10,,,,30.23,,12:24,Partly Cloudy,
,1-Mar-59,,Cape Canaveral,,,78,0,60.92,,75,53,64,0,0.1,SE,10,10,,,,30.13,,11:35,Cloudy,
,2-Mar-59,,Cape Canaveral,,,82,0,65.12,,75,54,64,0,0.09,E,13,10,,,,30.19,,11:37,Partly Cloudy,
Pioneer 4,3-Mar-59,13:10,Cape Canaveral,Uncrewed,Y,78,0,69.65,78,75,54,64,0,0.1,SE,20,7,12,,,30.13,,11:38,Cloudy,
,4-Mar-59,,Cape Canaveral,,,77,0,66.72,,75,54,65,0,0.1,SE,21,7,,,,30.11,,11:40,Cloudy,
,5-Mar-59,,Cape Canaveral,,,81,67,72.63,,75,54,65,0,0.1,SE,17,10,,,,30.12,,11:42,Cloudy,
,21-Aug-61,,Cape Canaveral,,,86,0,58.63,,90,73,82,0,0.24,W,16,7,,,,29.98,,12:58,Cloudy,
,22-Aug-61,,Cape Canaveral,,,90,0,78.8,,90,73,82,0,0.25,E,15,10,,,,30.03,,12:57,Cloudy,
Ranger 1,23-Aug-61,11:04,Cape Canaveral,Uncrewed,Y,91,80,85.35,90,90,73,82,0,0.24,SE,20,10,9,,,30.03,,12:56,Partly Cloudy,
,24-Aug-61,,Cape Canaveral,,,91,0,81.32,,90,73,82,0,0.25,E,15,10,,,,30.01,,12:54,Mostly Cloudy,
,25-Aug-61,,Cape Canaveral,,,90,79,84.54,,90,73,82,0,0.25,NE,16,10,,,,29.99,,12:53,Partly Cloudy,
,16-Nov-61,,Cape Canaveral,,,80,46,62.75,,78,59,69,0,0.09,W,13,10,,,,30.01,,10:43,Fair,
,17-Nov-61,,Cape Canaveral,,,74,0,60.12,,78,59,69,0,0.09,NW,23,15,,,,29.98,,10:42,Windy,
Ranger 2,18-Nov-61,9:09,Cape Canaveral,Uncrewed,Y,76,49,62,54,78,59,69,0,0.08,N,12,15,6,,,30.04,,10:41,Fair,
,19-Nov-61,,Cape Canaveral,,,77,48,63.25,,78,59,68,0,0.08,W,10,10,,,,30.08,,10:40,Fair,
,20-Nov-61,,Cape Canaveral,,,83,55,69,,78,58,68,0,0.07,W,17,10,,,,30.03,,10:39,Fair,
,24-Jan-62,,Cape Canaveral,,,70,0,56.68,,72,49,61,0,0.08,NW,15,10,,,,30.08,,10:43,Cloudy,
,25-Jan-62,,Cape Canaveral,,,68,47,58.78,,72,49,61,0,0.08,E,12,20,,,,30.13,,10:44,Fair,
Ranger 3,26-Jan-62,21:30,Cape Canaveral,Uncrewed,Y,65,51,56.55,53,72,79,61,0,0.08,N,22,10,17,,,30.2,,10:45,Fair,
,27-Jan-62,,Cape Canaveral,,,65,41,53.48,,72,50,61,0,0.08,E,17,10,,,,30.27,,10:46,Partly Cloudy,
,28-Jan-62,,Cape Canaveral,,,70,0,57.75,,72,50,61,0,0.08,NE,60,10,,,,30.3,,10:47,Partly Cloudy,
,21-Apr-62,,Cape Canaveral,,,93,0,68.11,,82,61,71,0,0.06,SE,13,7,,,,30.14,,12:59,Partly Cloudy,
,22-Apr-62,,Cape Canaveral,,,91,0,74.08,,82,61,72,0.8,0.07,SE,16,7,,,,30.13,,13:01,Mostly Cloudy,
Ranger 4,23-Apr-62,21:50,Cape Canaveral,Uncrewed,Y,76,0,67.35,71,82,62,72,0,0.06,NE,29,7,26,,,30.19,,13:02,Cloudy,
,24-Apr-62,,Cape Canaveral,,,74,0,63.48,,82,62,72,0,0.07,E,22,7,,,,30.16,,13:04,Cloudy,
,25-Apr-62,,Cape Canaveral,,,82,0,72.48,,82,62,72,0,0.06,SE,20,7,,,,30.1,,13:05,Cloudy,Looks like we didn’t capture temp at 7pm - probably an opportunity to clean the data
,16-Oct-62,,Cape Canaveral,,,75,59,65.74,,84,68,76,0.1,0.16,NW,14,20,,,,30,,11:28,Cloudy,
,17-Oct-62,,Cape Canaveral,,,79,58,69.43,,84,68,76,0,0.15,NW,18,20,,,,30.09,,11:27,Cloudy,
Ranger 5,18-Oct-62,17:59,Cape Canaveral,Uncrewed,Y,79,74,76.33,77,84,68,76,0,0.16,E,21,20,14,,,30.19,,11:25,Cloudy,
,19-Oct-62,,Cape Canaveral,,,83,76,78.32,,84,67,76,0.12,0.15,E,25,20,,,,30.14,,11:23,T-Storm,
,20-Oct-62,,Cape Canaveral,,,84,74,78.55,,83,64,75,0.05,0.16,NE,20,20,,,,30.12,,11:22,T-Storm,
